rank,name,king,pic,dir,intro
1,肖申克的救赎,9.6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...",希望让人自由。
2,霸王别姬,9.5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...",风华绝代。
3,这个杀手不太冷,9.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...",怪蜀黍和小萝莉不得不说的故事。
4,阿甘正传,9.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg,"
                            导演: Robert Zemeckis   主演: Tom Hanks / Robin Wright Penn / Gary Sinise",一部美国近现代史。
5,美丽人生,9.5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...",最美的谎言。
6,千与千寻,9.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...",最好的宫崎骏，最好的久石让。
7,泰坦尼克号,9.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...",失去的才是永恒的。
8,辛德勒的名单,9.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...",拯救一个人，就是拯救整个世界。
9,盗梦空间,9.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...",诺兰给了我们一场无法盗取的梦。
10,机器人总动员,9.3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...",小瓦力，大人生。
11,三傻大闹宝莱坞,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...",英俊版憨豆，高情商版谢耳朵。
12,海上钢琴师,9.2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...",每个人都要走一条自己坚定了的路，就算是粉身碎骨。
13,忠犬八公的故事,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...",永远都不能忘记你所爱的人。
14,放牛班的春天,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 杰拉尔·朱诺 Géra...",天籁一般的童声，是最接近上帝的存在。
15,大话西游之大圣娶亲,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...",一生所爱。
16,楚门的世界,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...",如果再也不能见到你，祝你早安，午安，晚安。
17,龙猫,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p537668599.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...",人人心中都有个龙猫，童年就永远不会消失。
18,教父,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190556185.jpg,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...",千万不要记恨你的对手，这样会让你失去理智。
19,星际穿越,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...",爱是一种力量，让我们超越时空感知它的存在。
20,熔炉,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...",我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,触不可及,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...",满满温情的高雅喜剧。
22,乱世佳人,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...","Tomorrow is another day."
23,无间道,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生",香港电影史上永不过时的杰作。
24,当幸福来敲门,8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1312700744.jpg,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...",平民励志片。
25,怦然心动,8.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...",真正的幸福是来自内心深处。
26,天堂电影院,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910901025.jpg,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 安东娜拉·塔莉 Antonel...",那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
27,十二怒汉,9.4,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...",1957年的理想主义。
28,少年派的奇幻漂流,9.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...",瑰丽壮观、无人能及的冒险之旅。
29,蝙蝠侠：黑暗骑士,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...",无尽的黑暗。
30,鬼子来了,9.2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...",对敌人的仁慈，就是对自己残忍。
31,搏击俱乐部,9.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...",邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
32,活着,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg,"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang",张艺谋最好的电影。
33,指环王3：王者无敌,9.1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 维果·莫腾森 Viggo Mortensen / ...",史诗的终章。
34,疯狂动物城,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg,"
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...",迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
35,天空之城,9.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...",对天空的追逐，永不停止。
